STT,Food_Code,Food_Name_Vietnamese,Food_Name_English,Waste_Pct_%,Water_g,Energy_kcal,Energy_kj,Protein_g,Fat_g,Carbohydrate_g,Fiber_g,Ash_g,Sugar_total_g,Galactose_g,Maltose_g,Lactose_g,Fructose_g,Glucose_g,Sucrose_g,Calcium_mg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_ug,Selenium_ug,Vitamin_C_mg,Vitamin_B1_mg,Vitamin_B2_mg,Niacin_mg,Vitamin_B5_mg,Vitamin_B6_mg,Folate_ug,Folic_acid_ug,Biotin_ug,Vitamin_B12_ug,Vitamin_A_ug,Vitamin_D_ug,Vitamin_E_mg,Vitamin_K_ug,Beta_caroten_ug,Alpha_caroten_ug,Beta_cryptoxanthin_ug,Lycopene_ug,Lutein_Zeaxanthin_ug,Purin_mg,Total_isoflavone_mg,Daidzein_mg,Genistein_mg,Glycetin_mg,Total_SFA_g,Palmitic_C16_0_g,Margaric_C17_0_g,Stearic_C18_0_g,Arachidic_C20_0_g,Behenic_C22_0_g,Lignoceric_C24_0_g,Total_MUFA_g,Myristoleic_C14_1_g,Palmitoleic_C16_1_g,Oleic_C18_1_g,Total_PUFA_g,Linoleic_C18_2_n6_g,Linolenic_C18_2_n3_g,Arachidonic_C20_4_g,EPA_C20_5_n3_g,DHA_C22_6_n3_g,Total_trans_FA_g,Cholesterol_mg,Phytosterol_mg,Lysine_mg,Methionine_mg,Tryptophan_mg,Phenylalanine_mg,Threonine_mg,Valine_mg,Leucine_mg,Isoleucine_mg,Arginine_mg,Histidine_mg,Cystine_mg,Tyrosine_mg,Alanine_mg,Aspartic_acid_mg,Glutamic_acid_mg,Glycine_mg,Proline_mg,Serine_mg
1,1001,Gạo nếp cái,"Glutinous rice, milled",0.0,14.0,344,1441,8.6,1.5,74.5,0.6,0.8,,,,,,,,32,1.20,17,1.100,98,282,3,2.20,280,,0,0.14,0.06,2.4,,,,,,,0,0.00,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,207,66,,229,177,317,531,222,435,133,96,111,347,443,1210,281,376,309
2,1002,Gạo nếp máy (Loại thường),"Glutinous rice, milled",0.0,13.9,346,1447,8.4,1.6,74.9,0.5,0.7,,,,,,,,16,1.20,17,1.100,130,282,3,2.20,280,15.1,0,0.16,0.06,2.4,0.284,0.107,7,0,,0,0,,,,0,0,0,0,0,,,,,,0.110,0.090,0.000,0.010,0.000,0.000,0.000,0.200,0.000,0.000,0.200,0,0.190,0.010,0.000,0.000,0.000,,0,,246,160,79,364,244,416,563,294,568,160,140,228,395,640,1328,310,321,358
3,1003,Gạo tẻ giã,"Under milled, home-pounded rice",0.0,14.0,344,1439,8.1,1.3,75.0,0.7,0.9,,,,,,,,36,0.20,52,1.500,108,202,5,1.90,360,38.8,0,0.12,0.04,1.9,,,,,3,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
4,1004,Gạo tẻ máy,Ordinary polished rice,0.0,14.0,344,1439,7.9,1.0,75.9,0.4,0.8,,,,,,,,30,1.30,14,0.900,104,241,5,1.50,230,31.8,0,0.10,0.03,1.6,1.342,0.145,9,0,3,0,0,,,,0,0,0,0,0,,,,,,0.160,0.140,0.000,0.010,0.000,0.000,0.000,0.180,0.000,0.000,0.180,0,0.130,0.030,0.000,0.000,0.000,,0,,239,155,77,353,236,403,546,285,551,155,135,221,383,621,1288,301,311,347
5,1005,Gạo lứt,"Rice, brown or hulled",0.0,12.4,345,1443,7.5,2.7,72.8,3.4,1.3,,,,,,,,16,2.80,52,1.500,246,202,5,1.90,360,38.8,0,0.34,0.07,5.0,1.5,0.62,20,0,,,0,,,,0,0,0,0,0,,,,,,0.540,0.460,0.000,0.050,0.000,0.000,0.000,0.970,0.000,0.010,0.960,0,0.920,0.040,0.000,0.000,0.000,,0,,286,169,96,387,275,440,620,318,569,190,91,281,437,702,1528,369,352,388
6,1006,Kê,Foxtail millet,2.0,14.0,331,1385,7.0,3.0,69.0,3.4,3.6,,,,,,,,22,2.70,430,1.700,290,249,7,1.50,440,2.7,0,0.40,0.09,1.6,0.848,0.384,85,0,,0,0,,0.05,0.9,60,,,,,62,,,,,0.720,0.530,0.000,0.150,0.000,0.000,0.000,0.770,0.000,0.010,0.740,2,2.020,0.120,0.000,0.000,0.000,,0,,135,140,76,368,224,367,889,295,243,150,135,216,626,461,1522,182,557,409
7,1007,Ngô bắp tươi,"Fresh maize seeds, raw",45.0,52.0,196,818,4.1,2.3,39.6,1.2,0.8,1.7,,0.1,0,0.2,0.6,,4,0.60,39,0.350,170,306,3,1.40,240,4,12,0.15,0.08,1.8,0.54,0.16,33,0,0.5,0,0,,0.8,0,,,,,,52,,,,,0.280,0.240,0.000,0.040,0.000,0.000,0.000,0.520,0.000,0.000,0.520,0,0.860,0.030,0.000,0.000,0.000,,0,,100,71,24,190,140,180,470,140,150,100,59,140,280,240,760,140,330,190
8,1008,Ngô vàng hạt khô,"Yellow maize, dried seeds",2.0,14.0,354,1482,8.6,4.7,69.4,2.0,1.3,0.64,,,,,,,30,2.30,127,0.490,190,287,35,2.21,314,15.5,0,0.28,0.11,2.0,0.424,0.622,19,0,,0,0,,0.49,0.3,97,63,0,0,1355,,,,,,0.670,0.570,0.000,0.080,0.000,0.000,0.000,1.250,0.000,0.000,1.250,2,2.100,0.070,0.000,0.000,0.000,,0,,242,180,61,423,323,435,1054,308,429,262,155,350,644,598,1614,352,750,408
9,1009,Bánh bao nhân thịt,"Ball shaped dumpling, Vietnamese steamed buns",0.0,44.0,219,916,6.1,0.5,47.5,0.5,1.4,,,,,,,,19,1.50,,,88,,,,,,,0.10,0.04,1.0,,,,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
10,1010,Bánh đa nem,Rice paper for rollers,0.0,15.0,333,1394,4.0,0.2,78.9,0.5,1.4,,,,,,,,20,0.30,,,65,,,,,,0,,,,,,,,,,0,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
11,1011,Bánh đúc,Rice pudding,0.0,86.8,52,215,0.9,0.3,11.3,0.1,0.6,,,,,,,,50,0.40,,,19,,,,,,0,,,,,,,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
12,1012,Bánh mỳ,French bread,0.0,37.2,249,1043,7.9,0.8,52.6,0.2,1.3,,,,,,,,28,2.00,,,164,,,,,,0,0.10,0.07,0.7,,,,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,163,133,66,314,216,366,460,294,294,133,188,208,280,392,1924,331,732,345
13,1013,Bánh phở,Rice noodles,0.0,64.3,143,599,3.2,0.4,31.7,0.0,0.4,,,,,,,,16,0.30,,,64,15,3,,,,0,0.01,0.01,0.2,,,,,,,0,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
14,1014,Bánh quẩy,Wheat fritters twisted fried,0.0,38.7,292,1222,8.0,10.8,40.7,0.7,1.1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0.00,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
15,1015,Bỏng ngô,Corn flakes,0.0,3.0,372,1556,8.6,1.6,80.8,3.4,2.6,,,,,,,,3,0.60,,,47,,,,,,0,0.02,0.03,0.6,,,,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,230,166,61,421,310,418,1081,316,362,235,134,330,650,541,1634,319,771,429
16,1016,Bột gạo nếp,Glutinous rice flour,0.0,10.0,362,1516,8.2,1.6,78.8,0.6,0.8,,,,,,,,12,0.80,18,1.140,148,293,3,2.29,291,15.7,0,0.10,0.02,1.7,0.295,0.111,7,0,,0,0,,,,0,0,0,0,0,,,,,,0.110,0.090,0.000,0.010,0.000,0.000,0.000,0.200,0.000,0.000,0.190,0,0.180,0.010,0.000,0.000,0.000,,0,,240,156,77,355,238,406,550,287,554,156,137,223,386,625,1296,303,313,349
17,1017,Bột gạo tẻ,Rice ordinary flour,0.0,10.0,359,1501,6.6,0.4,82.2,0.4,0.4,,,,,,,,24,1.90,35,1.200,135,76,0,0.80,130,15.1,0,0.08,0.05,2.1,0.819,0.436,4,0,1,0,0,,0.11,0,0,0,0,0,0,,,,,,0.390,0.350,0.000,0.030,0.000,0.000,0.000,0.440,0.000,0.010,0.440,0,0.310,0.070,0.000,0.000,0.000,,0,,207,144,72,317,210,348,488,244,516,149,107,314,332,549,1097,267,278,310
18,1018,Bột mì,Wheat flour,0.0,14.0,346,1446,10.3,1.1,73.6,0.3,0.7,,,,,,,,29,2.00,173,2.000,132,186,4,2.50,21,28,0,0.18,0.13,1.0,1.008,0.341,44,0,1.9,0,0,,0.82,1.9,0,0,0,0,0,14,,,,,0.320,0.270,0.000,0.020,0.000,0.000,0.000,0.230,0.000,0.010,0.220,0,0.740,0.040,0.000,0.000,0.000,,0,,340,140,110,630,380,520,780,380,320,170,265,142,278,329,3480,341,1254,449
19,1019,Bột ngô vàng,Yellow maize flour,0.0,12.0,361,1511,8.3,4.0,73.0,1.5,1.2,,,,,,,,15,2.10,93,0.460,170,315,5,1.73,230,15.4,0,0.17,0.08,1.9,0.658,0.37,25,0,,0,0,,0.42,0.3,97,63,0,0,1355,,,,,,0.540,0.460,0.000,0.060,0.000,0.000,0.000,1.020,0.000,0.000,1.020,1,1.710,0.050,0.000,0.000,0.000,,0,,195,145,49,340,261,351,850,248,345,211,125,282,518,482,1300,284,605,329
20,1020,Bún,Rice vermicelli,0.0,72.0,110,459,1.7,,25.7,0.5,0.1,,,,,,,,12,0.20,,,32,,,,,,0,0.04,0.01,1.3,,,,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
21,1021,Cốm,"Rice, unriped. Raw",0.0,25.0,297,1242,6.1,0.8,66.3,0.6,1.2,,,,,,,,24,1.00,,,143,,,,,,0,,,,,,,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
22,1022,Mỳ sợi,Wheat noodles,0.0,13.0,349,1460,11.0,0.9,74.2,0.3,0.6,,,,,,,,34,1.50,,,97,,,,,,0,0.10,0.04,1.1,,,,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,432,320,150,702,490,808,1036,667,679,300,,,,,,,,
23,1023,Ngô nếp luộc,"Glutinous maize, boiled",50.0,59.0,167,699,3.9,2.2,32.9,1.2,0.8,,,,,,,,18,0.80,,,146,,,,,,0,,,,,,,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
24,2001,Củ ấu,Water-caltrops,50.0,69.2,115,481,3.6,0.5,24.0,1.0,1.7,,,,,,,,9,0.70,,,49,,,,,,5,0.23,0.05,1.9,,,,,,,0,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
25,2002,Củ cải,Yam winged,15.0,65.5,127,532,3.1,0.2,28.3,1.8,1.1,,,,,,,,20,2.90,20,,32,397,12,11.00,,,1,,,,0.314,0.293,23,0,,0,0,,0.39,2.6,83,,,,,,,,,,0.040,0.030,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.010,0,0.060,0.010,0.000,0.000,0.000,,0,,59,21,12,71,54,62,96,52,127,34,19,40,63,155,181,53,54,81
26,2003,Củ dong,Bermuda tuber,4.0,66.5,119,499,1.4,,28.4,2.4,1.3,,,,,,,,42,,,,21,,,,,,,,,,,,,,,,0.00,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
27,2004,Củ sắn,Bitter cassava,25.0,60.0,152,635,1.1,0.2,36.4,1.5,0.8,,,,,,,,25,1.20,4,,30,394,2,,,,34,0.03,0.03,0.6,0.107,0.088,27,0,,0,0,,0.19,1.9,8,0,0,0,0,,,,,,0.070,0.070,0.000,0.010,0.000,0.000,0.000,0.080,0.000,0.000,0.080,0,0.030,0.020,0.000,0.000,0.000,,0,,44,11,19,26,28,35,39,27,137,20,28,17,38,79,206,28,33,33
28,2005,Củ sắn dây,Radix puerariae,10.0,60.3,119,499,1.6,0.1,28.0,9.2,0.8,,,,,,,,28,0.20,,,45,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
29,2006,Củ súng khô (đã bỏ vỏ),"Nymphaea stellata wild, dried, unshelled",0.0,8.6,350,1465,16.1,0.5,70.3,2.3,2.2,,,,,,,,100,0.20,,,720,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
30,2007,Củ từ,"Igname Yam, Chinese",6.0,75.0,92,385,1.5,,21.5,1.2,0.8,,,,,,,,28,0.20,,,30,,,,,,2,,,,,,,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
31,2008,Khoai lang,"Sweet potato, white",17.0,68.0,119,498,0.8,0.2,28.5,1.3,1.2,,,,,,,,34,1.00,201,0.390,49,210,31,0.20,260,7.1,23,0.05,0.05,0.6,0.8,0.209,11,0,,0,0,,0.26,1.8,150,,,,,,,,,,0.020,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.010,0.000,0.000,0.000,0.000,,0,,30,10,2,40,40,30,40,30,30,10,12,48,58,176,139,42,34,50
32,2009,Khoai lang nghệ,"Sweet potato, yellow",13.0,69.9,116,485,1.2,0.3,27.1,0.8,0.7,,,,,,,,36,0.90,,,56,,,,,,30,0.12,0.05,0.6,,,,,,,0,,,,1470,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,42,11,12,42,50,61,64,40,35,19,12,48,58,176,130,12,34,50
33,2010,Khoai môn,"Chinese Yam, spiny yam",14.0,70.8,109,454,1.5,0.2,25.2,1.2,1.1,,,,,,,,44,0.80,,,44,,,,,,4,0.09,0.03,0.1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
34,2011,Khoai nước,Water-taro,14.0,72.5,98,410,1.0,0.1,23.3,2.0,1.1,,,,,,,,52,0.20,,,35,,,,,,3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
35,2012,Khoai riềng,Edible canna,19.0,70.0,104,433,0.8,,25.1,2.5,1.6,,,,,,,,64,1.70,,,107,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
36,2013,Khoai sọ,Taro tuber,18.0,69.0,114,477,1.8,0.1,26.5,1.2,1.4,,,,,,,,64,1.50,33,0.380,75,448,10,,,,4,0.06,0.03,0.1,0.303,0.283,22,0,,0,0,,2.38,1,35,,20,,,,,,,,0.040,0.040,0.000,0.010,0.000,0.000,0.000,0.020,0.000,0.000,0.020,0,0.060,0.030,0.000,0.000,0.000,,0,,70,10,20,90,80,90,150,70,140,30,17,54,40,180,80,68,61,110
37,2014,Khoai tây,"Potato, white",13.0,75.0,93,387,2.0,0.1,20.9,1.0,1.0,,,,,,,,10,1.20,32,0.200,50,396,7,0.30,230,0.5,10,0.10,0.05,0.9,0.281,0.203,18,0,0.47,0,0,,0.01,1.6,5,0,0,0,13,16,,,,,0.030,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.030,0.010,0.000,0.000,0.000,,0,,100,30,20,110,70,100,230,230,90,30,10,47,76,211,174,64,64,70
38,2015,Miến dong,Vermicelli from Bermuda tuber,0.0,14.5,332,1390,0.6,0.1,82.2,1.5,1.1,,,,,,,,40,1.00,,,120,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
39,2016,Bột dong lọc,Bermuda flour,0.0,14.0,341,1428,0.6,,84.7,0.5,0.2,,,,,,,,37,1.70,,,18,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
40,2017,Bột khoai lang,Sweet potato flour,0.0,14.0,334,1398,2.2,0.5,80.2,1.6,1.5,,,,,,,,50,2.00,,,95,,,,,,,0.24,0.09,1.5,,,,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
41,2018,Bột khoai riềng (bột đao),"Canna edulis Ker, flour",0.0,14.0,337,1411,0.2,,84.1,1.5,0.2,,,,,,,,16,,,,17,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
42,2019,Bột khoai tây (lọc),"Potato flour, white",0.0,13.6,345,1441,1.0,0.3,84.4,0.4,0.3,,,,,,,,30,3.00,,,125,,,,,,,0.01,,0.4,0.474,0.769,25,0,,0,0,,0.25,0,0,0,0,0,0,,,,,,0.090,0.060,0.000,0.010,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0,0.110,0.040,0.000,0.000,0.000,,0,,35,8,9,24,20,36,33,22,25,10,5,12,21,91,80,17,21,21
43,2020,Bột sắn,Cassava flour,0.0,14.0,333,1391,2.4,0.5,79.6,2.2,1.3,,,,,,,,84,,,,37,,,,,,,0.02,0.03,0.1,,,,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
44,2021,Bột sắn dây,Radix puerariae flour,0.0,14.0,340,1423,0.7,,84.3,0.8,0.2,,,,,,,,18,1.50,,,20,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
45,2022,Khoai lang khô,"Sweet potato, dried",5.0,11.0,333,1395,2.2,0.5,80.0,3.6,2.7,,,,,,,,95,2.78,559,1.080,137,584,86,0.56,723,19.7,,0.09,0.07,1.7,2.225,0.581,31,0,,0,0,,0.72,5.0,417,,,,,,,,,,0.050,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.030,0.000,0.000,0.000,0.000,,0,,70,30,4,100,110,90,120,90,90,40,33,132,160,484,382,116,94,138
46,2023,Khoai tây khô,"Potato, white, dried",0.0,11.0,330,1379,6.6,0.3,75.1,3.4,3.6,,,,,,,,37,4.30,114,0.710,180,1410,25,1.07,819,1.78,,0.36,0.18,3.2,1.000,0.723,64,0,,0,0,,0.04,5.7,18,0,0,0,46,,,,,,0.080,0.050,0.000,0.010,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0,0.100,0.030,0.000,0.000,0.000,,0,,330,110,50,360,240,320,750,750,290,110,33,155,251,696,574,211,211,231
47,2024,Khoai tây lát chiên,"Potato crisp, fried",0.0,3.0,525,2195,2.2,35.4,49.3,6.3,3.8,,,,,,,,37,2.10,,,130,,,,,,1,0.15,0.02,4.6,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
48,2025,Sắn khô,Dried bitter cassava,5.0,11.0,340,1420,3.0,0.7,80.3,3.0,2.0,,,,,,,,96,7.90,,,81,,,,,,,0.06,0.05,0.8,,,,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
49,2026,Trân châu sắn,"Tapioca, pearls E.P",0.0,14.0,341,1428,1.0,,84.3,0.6,0.1,,,,,,,,30,2.00,,,50,,,,,,,0.04,,,,,,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
